ticker,expense,segment,issuer,name,aum,return_ytd,return_1m,return_3m,return_1y,return_3y,return_5y,return_10y,flow_ytd,flow_1m,flow_3m,flow_1y,flow_3y
QQQN,0.18%,Equity: U.S. - Large Cap,Victory Capital,VictoryShares Nasdaq Next 50 ETF,132,-17.99%,-17.64%,-18.01%,-14.52%,--,--,--,$1.45M,$1.45M,$3.47M,$23.39M,$125.82M
LSAF,0.75%,Equity: U.S. - Large Cap,Redwood Investment Management,LeaderShares AlphaFactor U.S. Core Equity ETF,129,-7.36%,-5.64%,-4.51%,10.25%,13.08%,--,--,-$30.63M,$4.24M,$11.97M,$37.47M,$45.90M
HUSV,0.70%,Equity: U.S. - Large Cap,First Trust,First Trust Horizon Managed Volatility Domestic ETF,128,-7.37%,-5.26%,-0.85%,17.20%,14.41%,11.78%,--,$0.00M,$0.00M,$1.69M,-$71.65M,-$86.78M
SPUS,0.49%,Equity: U.S. - Large Cap,Toroso Investments,SP Funds S&P 500 Sharia Industry Exclusions ETF,128,-10.43%,-9.44%,-3.01%,16.12%,--,--,--,$7.21M,$10.59M,$25.21M,$73.22M,$110.12M
XOUT,0.60%,Equity: U.S. - Large Cap,GraniteShares,GraniteShares XOUT U.S. Large Cap ETF,127,-13.26%,-12.88%,-9.46%,6.03%,--,--,--,$0.00M,$0.00M,$6.55M,$19.53M,$98.22M
PFEB,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Power Buffer ETF - February,126,-0.17%,0.07%,0.63%,10.38%,--,--,--,-$5.85M,-$8.04M,-$50.21M,$17.64M,$95.98M
QQXT,0.60%,Equity: U.S. - Large Cap,First Trust,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,124,-11.55%,-10.51%,-11.85%,-3.04%,16.38%,13.03%,13.20%,$0.00M,$0.00M,-$12.82M,-$24.87M,-$15.14M
NJAN,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator Growth-100 Power Buffer ETF - January,122,-7.08%,-6.93%,-5.81%,2.20%,--,--,--,$51.13M,$51.13M,$41.69M,$33.12M,$114.71M
RBUS,0.30%,Equity: U.S. - Large Cap,Nationwide,Nationwide Risk-Based U.S. Equity ETF,120,-8.34%,-7.11%,-5.20%,6.17%,15.31%,--,--,-$1.02M,-$1.02M,-$3.04M,-$0.72M,-$32.34M
EQWL,0.25%,Equity: U.S. - Large Cap,Invesco,Invesco S&P 100 Equal Weight ETF,118,-5.50%,-4.56%,-2.87%,17.97%,18.78%,15.11%,14.69%,$5.16M,$6.88M,$9.49M,$32.50M,$27.77M
FMAY,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Buffer ETF - May,118,-3.98%,-3.51%,-2.19%,5.96%,--,--,--,-$1.93M,-$1.93M,$7.55M,$57.48M,$105.13M
CHGX,0.49%,Equity: U.S. - Large Cap,Change Finance,Change Finance U.S. Large Cap Fossil Fuel Free ETF,117,-11.81%,-10.82%,-10.03%,6.74%,18.27%,--,--,$14.47M,$14.47M,$26.71M,$80.81M,$104.98M
PLRG,0.15%,Equity: U.S. - Large Cap,Principal,Principal U.S. Large-Cap Adaptive Multi-Factor ETF,115,-10.40%,-9.79%,-6.45%,--,--,--,--,-$3.06M,-$0.16M,-$21.52M,$116.40M,$116.40M
BAPR,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - April,115,-3.46%,-3.06%,-1.63%,8.08%,--,--,--,-$1.69M,-$1.69M,-$7.46M,$49.54M,$91.94M
FDMO,0.29%,Equity: U.S. - Large Cap,Fidelity,Fidelity Momentum Factor ETF,113,-10.65%,-9.99%,-7.75%,3.88%,15.80%,13.88%,--,$0.34M,$0.34M,$0.37M,-$21.43M,-$33.66M
AESR,1.46%,Equity: U.S. - Large Cap,Regents Park Funds,Anfield U.S. Equity Sector Rotation ETF,112,-8.96%,-8.37%,-11.83%,4.83%,--,--,--,$3.91M,$3.91M,$5.93M,$57.32M,$94.35M
FJUN,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Buffer ETF - June,112,-3.75%,-3.31%,-2.19%,6.85%,--,--,--,$0.00M,$0.00M,$9.41M,$74.06M,$114.42M
FUNL,0.50%,Equity: U.S. - Large Cap,"CornerCap Investment Counsel, Inc.",CornerCap Fundametrics Large-Cap ETF,111,-2.50%,-1.30%,-1.00%,19.25%,--,--,--,$3.17M,$3.70M,$5.79M,$28.58M,$87.90M
UJAN,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - January,110,-3.35%,-3.11%,-2.97%,1.86%,5.63%,--,--,$38.07M,$38.07M,$19.90M,-$0.56M,$59.43M
BOCT,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - October,110,-4.81%,-4.25%,-2.90%,8.19%,12.43%,--,--,$0.01M,$0.01M,$0.89M,$19.52M,$62.40M
SPYC,0.29%,Equity: U.S. - Large Cap,Simplify Asset Management Inc.,Simplify US Equity PLUS Convexity ETF,107,-10.46%,-9.86%,-5.74%,12.06%,--,--,--,$3.48M,$3.48M,$7.74M,$21.45M,$87.70M
DAPR,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,106,-2.95%,-2.70%,-1.81%,--,--,--,--,$7.88M,$14.19M,$7.92M,$103.56M,$103.56M
PMAR,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Power Buffer ETF - March,106,-1.42%,-1.14%,-0.32%,8.79%,--,--,--,-$0.79M,-$0.79M,-$11.74M,$52.18M,$87.38M
SSPY,0.30%,Equity: U.S. - Large Cap,Syntax Advisors,Syntax Stratified LargeCap ETF,102,-6.54%,-5.07%,-3.14%,17.12%,17.30%,--,--,$0.00M,$0.00M,$1.83M,$49.23M,$78.23M
DDEC,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF ??December,100,-3.29%,-3.14%,-2.02%,3.51%,--,--,--,$21.21M,$24.49M,$43.92M,$17.47M,$73.89M
AZBJ,0.74%,Equity: U.S. - Large Cap,PIMCO,AllianzIM U.S. Large Cap Buffer20 Jan ETF,100,-3.80%,-3.71%,-3.32%,2.01%,--,--,--,$18.36M,$32.96M,$42.91M,$73.06M,$75.57M
BUFG,1.05%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest Buffered Allocation Growth ETF,100,-5.02%,-4.71%,--,--,--,--,--,$40.59M,$45.68M,$103.00M,$103.00M,$103.00M
BJUL,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - July,94,-4.68%,-4.18%,-2.74%,5.18%,9.13%,--,--,-$9.18M,-$9.18M,-$86.67M,$13.56M,$67.73M
DWUS,1.10%,Equity: U.S. - Large Cap,AdvisorShares,AdvisorShares Dorsey Wright FSM US Core ETF,93,-10.29%,-9.04%,-6.32%,2.73%,--,--,--,$0.00M,-$1.02M,-$1.02M,$11.52M,$43.46M
XVOL,0.83%,Equity: U.S. - Large Cap,Toroso Investments,Acruence Active Hedge U.S. Equity ETF,92,-8.22%,-7.79%,-4.98%,--,--,--,--,$1.04M,$1.04M,$3.27M,$89.97M,$89.97M
DOCT,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF,91,-2.91%,-2.56%,-1.90%,3.23%,--,--,--,-$1.65M,-$0.00M,$14.78M,$53.97M,$86.77M
SPMO,0.13%,Equity: U.S. - Large Cap,Invesco,Invesco S&P 500 Momentum ETF,89,-9.27%,-8.77%,-8.65%,7.06%,18.54%,17.48%,--,-$12.27M,-$12.92M,$8.36M,$5.50M,$5.64M
DMAR,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF - March,89,-1.57%,-1.33%,-0.66%,--,--,--,--,$1.66M,$4.85M,$19.12M,$86.94M,$86.94M
SZNE,0.60%,Equity: U.S. - Large Cap,Pacer Advisors,Pacer CFRA-Stovall Equal Weight Seasonal Rotation Index ETF,87,-9.58%,-8.15%,-5.92%,12.31%,14.09%,--,--,$0.00M,$1.99M,$9.81M,$20.21M,$81.26M
QDEC,0.90%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest Nasdaq-100 Buffer ETF - December,86,-8.20%,-8.00%,-5.01%,5.41%,--,--,--,$13.88M,$17.43M,$18.81M,$29.55M,$80.67M
BUFF,0.99%,Equity: U.S. - Large Cap,Innovator,Innovator Laddered Fund of U.S. Equity Power Buffer ETFs,86,5.46%,-0.33%,0.09%,4.64%,5.55%,4.93%,--,$5.35M,$5.35M,$19.60M,$45.25M,-$42.14M
FMAR,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Buffer ETF - March,84,-2.77%,-2.35%,-1.32%,--,--,--,--,-$11.58M,-$11.58M,-$4.98M,$79.03M,$79.03M
BNOV,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator S&P 500 Buffer ETF - November,82,-5.86%,-5.28%,-3.81%,3.23%,--,--,--,-$10.78M,-$10.78M,$66.86M,$60.62M,$79.48M
DMAY,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF - May,81,-2.22%,-1.79%,-1.22%,3.49%,--,--,--,$5.22M,$6.96M,$17.30M,$67.29M,$72.07M
PUTW,0.44%,Equity: U.S. - Large Cap,WisdomTree,WisdomTree CBOE S&P 500 PutWrite Strategy Fund,79,-4.93%,-4.93%,-3.09%,13.09%,9.02%,5.84%,--,$5.05M,$5.06M,$13.50M,-$36.28M,-$174.99M
PSET,0.15%,Equity: U.S. - Large Cap,Principal,Principal Quality ETF,78,-12.06%,-9.92%,-6.46%,15.04%,18.78%,16.43%,--,-$7.74M,-$7.74M,-$13.66M,$44.98M,$48.82M
BDEC,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - December,78,-6.08%,-5.42%,-2.68%,7.14%,--,--,--,$0.83M,$0.83M,$16.28M,-$23.20M,$66.43M
BAUG,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - August,78,-5.49%,-4.83%,-3.27%,5.03%,--,--,--,-$0.83M,-$0.83M,-$6.60M,$26.54M,$65.63M
UTRN,0.75%,Equity: U.S. - Large Cap,Exchange Traded Concepts,Vesper U.S. Large Cap Short-Term Reversal Strategy ETF,77,-10.14%,-7.43%,-4.81%,16.78%,19.56%,--,--,$7.52M,$9.39M,$13.05M,$25.73M,$77.70M
ACSI,0.66%,Equity: U.S. - Large Cap,Exponential ETFs,American Customer Satisfaction ETF,76,-9.11%,-8.40%,-6.87%,8.63%,17.03%,13.03%,--,$0.03M,$0.03M,$0.03M,-$0.41M,-$3.89M
BALT,0.69%,Equity: U.S. - Large Cap,Innovator,Innovator Defined Wealth Shield ETF,76,-1.20%,-1.23%,-0.97%,--,--,--,--,$31.69M,$34.29M,$49.79M,$76.16M,$76.16M
DJAN,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF - January,71,-0.24%,-0.30%,0.17%,6.12%,--,--,--,$16.15M,$16.15M,$17.77M,$45.33M,$63.48M
DJUL,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF - July,70,-2.99%,-2.79%,-1.88%,2.76%,--,--,--,$3.37M,$3.37M,$11.75M,$54.35M,$66.49M
UOCT,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - October,69,-2.35%,-1.92%,-1.65%,3.44%,6.69%,--,--,$0.70M,$0.70M,$7.81M,-$24.02M,-$18.47M
PSFF,0.93%,Equity: U.S. - Large Cap,Pacer Advisors,Pacer Swan SOS Fund of Funds ETF,68,-3.82%,-3.46%,-2.59%,6.26%,--,--,--,$5.21M,$5.21M,$32.23M,$66.32M,$66.32M
DJUN,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF - June,67,-2.13%,-1.78%,-1.27%,3.81%,--,--,--,$1.70M,$1.70M,$18.84M,$44.19M,$62.34M
BMAY,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - May,66,-4.75%,-4.31%,-2.74%,5.81%,--,--,--,-$6.55M,-$7.38M,-$14.72M,$44.07M,$58.66M
TPLE,0.52%,Equity: U.S. - Large Cap,Timothy Plan,Timothy Plan U.S. Large/Mid Cap Core Enhanced ETF,65,-10.40%,-8.83%,-5.88%,--,--,--,--,$1.26M,$1.26M,$44.59M,$66.24M,$66.24M
DSEP,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Deep Buffer ETF - September,63,-3.06%,-2.71%,-1.83%,2.77%,--,--,--,$1.65M,$0.00M,$6.58M,$34.33M,$44.66M
USEP,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - September,61,-2.93%,-2.65%,-1.90%,2.62%,--,--,--,$0.00M,-$0.72M,-$4.29M,-$4.95M,$56.21M
BJUN,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - June,61,-4.18%,-3.83%,-2.39%,5.60%,--,--,--,-$0.83M,-$1.70M,-$18.62M,$25.34M,$49.11M
NOCT,0.81%,Equity: U.S. - Large Cap,Innovator,Innovator Nasdaq-100 Power Buffer ETF - October,60,-4.97%,-4.68%,-3.75%,5.17%,--,--,--,-$19.55M,-$19.55M,-$12.52M,-$6.64M,$47.46M
BUFT,1.05%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest Buffered Allocation Defensive ETF,60,-2.16%,-1.89%,--,--,--,--,--,$13.02M,$25.08M,$61.14M,$61.14M,$61.14M
BMAR,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - March,60,-3.16%,-2.74%,-1.45%,12.33%,--,--,--,$2.52M,$1.65M,-$1.77M,$30.02M,$48.78M
BFEB,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Buffer ETF - February,59,-1.40%,-1.09%,0.15%,15.51%,--,--,--,-$3.14M,-$3.95M,-$26.85M,$13.50M,$45.16M
XRLV,0.25%,Equity: U.S. - Large Cap,Invesco,Invesco S&P 500 ex-Rate Sensitive Low Volatility ETF,57,-7.36%,-5.33%,-1.93%,15.95%,14.20%,13.00%,--,$5.61M,$5.61M,$5.65M,-$2.06M,-$105.13M
LEAD,0.43%,Equity: U.S. - Large Cap,SRN Advisors,Siren DIVCON Leaders Dividend ETF,56,-9.99%,-8.47%,-3.49%,14.36%,20.13%,15.82%,--,$2.98M,$2.98M,$10.63M,$13.31M,-$3.34M
OALC,0.76%,Equity: U.S. - Large Cap,Oneascent Holdings LLC,OneAscent Large Cap Core ETF,54,-12.38%,-11.54%,--,--,--,--,--,$1.20M,$1.83M,$60.10M,$60.10M,$60.10M
IFED,0.45%,Equity: U.S. - Large Cap,UBS,ETRACS IFED Invest with the Fed TR Index ETN,54,-1.30%,-0.43%,1.09%,--,--,--,--,--,--,--,--,--
JDIV,0.12%,Equity: U.S. - Large Cap,JPMorgan Chase,JPMorgan U.S. Dividend ETF,53,-3.66%,-1.91%,0.66%,20.33%,13.78%,--,--,$1.73M,$1.73M,$10.01M,$34.08M,$18.06M
AZAJ,0.74%,Equity: U.S. - Large Cap,PIMCO,AllianzIM U.S. Large Cap Buffer10 Jan ETF,51,-5.78%,-5.78%,-4.95%,5.16%,--,--,--,$25.74M,$25.74M,$28.55M,$20.98M,$24.74M
QYLG,0.60%,Equity: U.S. - Large Cap,"Mirae Asset Global Investments Co., Ltd.",Global X Nasdaq 100 Covered Call & Growth ETF,51,-10.98%,-10.90%,-8.78%,1.57%,--,--,--,$1.30M,$1.99M,$15.89M,$52.94M,$56.84M
DWEQ,0.96%,Equity: U.S. - Large Cap,AdvisorShares,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,48,-16.87%,-16.61%,-18.29%,-17.57%,--,--,--,-$20.69M,-$20.69M,-$20.46M,-$13.26M,$49.60M
NJUL,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator Growth-100 Power Buffer ETF - July,46,-4.83%,-4.54%,-3.50%,2.00%,--,--,--,-$5.99M,-$7.19M,-$8.37M,$0.10M,$40.86M
UJUL,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - July,45,-2.64%,-2.20%,-1.58%,1.88%,5.68%,--,--,-$5.54M,-$5.54M,-$6.92M,$9.40M,-$8.27M
KLCD,0.42%,Equity: U.S. - Large Cap,CICC,KFA Large Cap Quality Dividend Index ETF,44,-8.72%,-6.68%,-4.56%,13.02%,--,--,--,$1.72M,$1.72M,-$1.77M,-$7.22M,$34.57M
UMAY,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - May,44,-2.27%,-1.98%,-1.32%,2.62%,--,--,--,$2.11M,$1.40M,$3.52M,$31.66M,$41.91M
AZAO,0.74%,Equity: U.S. - Large Cap,PIMCO,AllianzIM U.S. Large Cap Buffer10 Oct ETF,42,-4.49%,-4.06%,-2.74%,7.61%,--,--,--,$0.00M,$0.00M,$0.01M,$4.52M,$12.08M
UDEC,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - December,42,-3.09%,-2.90%,-1.42%,2.74%,--,--,--,$0.73M,$0.73M,$10.48M,-$15.09M,$36.67M
UAPR,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - April,42,-1.48%,-1.22%,-0.69%,3.70%,--,--,--,-$0.65M,-$1.31M,-$12.40M,$13.07M,$37.45M
LFEQ,0.58%,Equity: U.S. - Large Cap,VanEck,VanEck Long/Flat Trend ETF,41,-8.79%,-8.08%,-4.85%,14.34%,17.78%,--,--,-$2.19M,-$2.19M,-$3.31M,$6.25M,-$25.99M
XYLG,0.60%,Equity: U.S. - Large Cap,"Mirae Asset Global Investments Co., Ltd.",Global X S&P 500 Covered Call & Growth ETF,38,-7.16%,-6.51%,-3.77%,12.56%,--,--,--,$3.41M,$3.42M,$5.98M,$35.43M,$39.28M
STNC,0.85%,Equity: U.S. - Large Cap,Red Gate Advisers LLC,Stance Equity ESG Large Cap Core ETF,37,-9.80%,-8.19%,-4.70%,--,--,--,--,$1.43M,$1.43M,$1.71M,$7.81M,$7.81M
UNOV,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator S&P 500 Ultra Buffer ETF - November,37,-2.99%,-2.60%,-2.26%,0.93%,--,--,--,$0.73M,$0.73M,$28.65M,$20.74M,$36.37M
AZBO,0.74%,Equity: U.S. - Large Cap,PIMCO,AllianzIM U.S. Large Cap Buffer20 Oct ETF,37,-2.36%,-2.08%,-1.32%,3.65%,--,--,--,-$2.07M,-$2.07M,-$0.71M,$5.41M,$6.03M
NAPR,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator Growth-100 Power Buffer ETF - April,37,-3.05%,-2.86%,-1.95%,5.56%,--,--,--,-$0.96M,-$1.93M,-$3.85M,$21.78M,$31.76M
DFND,1.50%,Equity: U.S. - Large Cap,SRN Advisors,Siren DIVCON Dividend Defender ETF,36,-10.26%,-9.07%,-4.14%,2.40%,11.02%,9.66%,--,$0.00M,$0.00M,$1.02M,-$13.04M,$25.65M
SIXO,0.74%,Equity: U.S. - Large Cap,PIMCO,AllianzIM U.S. Large Cap 6 Month Buffer10 Apr/Oct ETF,36,-2.81%,-2.45%,-1.45%,--,--,--,--,-$7.78M,-$7.78M,-$2.04M,$20.66M,$20.66M
FEVR,0.85%,Equity: U.S. - Large Cap,Inspire,Inspire Faithward Large Cap Momentum ESG ETF,34,-16.77%,-16.72%,-19.63%,-7.84%,--,--,--,-$10.14M,-$10.14M,-$17.88M,$11.81M,$13.16M
AVDR,0.60%,Equity: U.S. - Large Cap,New Age Alpha Advisors LLC,AVDR US LargeCap Leading ETF,33,-13.40%,-12.24%,-11.06%,8.23%,--,--,--,$3.05M,$3.86M,$7.13M,$33.95M,$34.59M
QDIV,0.20%,Equity: U.S. - Large Cap,"Mirae Asset Global Investments Co., Ltd.",Global X S&P 500 Quality Dividend ETF,33,-0.10%,1.53%,1.94%,24.25%,14.53%,--,--,$18.05M,$19.69M,$22.92M,$24.93M,$24.24M
ACVF,0.75%,Equity: U.S. - Large Cap,Ridgeline Research LLC,American Conservative Values ETF,32,-8.81%,-8.14%,-5.33%,14.60%,--,--,--,$0.00M,$0.00M,$3.47M,$27.49M,$28.20M
UAUG,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - August,32,-2.70%,-2.41%,-1.76%,2.11%,--,--,--,-$0.73M,-$1.46M,-$13.84M,-$0.72M,$25.42M
RNLC,0.60%,Equity: U.S. - Large Cap,First Trust,First Trust Large Cap U.S. Equity Select ETF,29,-8.26%,-6.86%,-3.55%,15.32%,17.59%,--,--,-$1.66M,-$1.66M,-$1.66M,$1.61M,$2.84M
MBCC,1.25%,Equity: U.S. - Large Cap,Kingsview Partners LLC,Monarch Blue Chips Core ETF,29,-12.85%,-12.18%,-12.59%,--,--,--,--,$0.69M,$2.17M,$3.64M,$28.77M,$28.77M
SPXE,0.27%,Equity: U.S. - Large Cap,ProShares,ProShares S&P 500 Ex-Energy ETF,29,-9.49%,-8.77%,-5.21%,12.84%,19.20%,14.94%,--,$0.00M,$0.00M,$2.03M,$4.15M,$12.45M
NULC,0.20%,Equity: U.S. - Large Cap,Nuveen Securities,Nuveen ESG Large-Cap ETF,28,-10.51%,-9.68%,-8.50%,9.63%,--,--,--,$0.00M,$0.00M,$2.15M,$7.99M,$17.78M
EQRR,0.35%,Equity: U.S. - Large Cap,ProShares,ProShares Equities for Rising Rates ETF,28,0.89%,2.11%,-2.49%,31.20%,8.11%,--,--,$18.10M,$18.10M,$20.71M,$25.95M,$21.87M
UMAR,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - March,27,-0.92%,-0.74%,-0.16%,6.30%,--,--,--,-$0.74M,-$0.74M,-$5.93M,-$0.50M,$20.68M
JUSA,0.17%,Equity: U.S. - Large Cap,JPMorgan Chase,JPMorgan ActiveBuilders U.S. Large Cap Equity ETF,27,-8.25%,-7.61%,-4.87%,--,--,--,--,$0.00M,$0.00M,$0.00M,$2.46M,$2.46M
QSPT,0.90%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest Nasdaq-100 Buffer ETF - September,27,-8.03%,-7.55%,-5.92%,--,--,--,--,$0.00M,-$3.16M,$10.33M,$26.32M,$26.32M
SPMV,0.10%,Equity: U.S. - Large Cap,Invesco,Invesco S&P 500 Minimum Variance ETF,27,-8.21%,-6.90%,-2.24%,13.30%,15.54%,--,--,$0.39M,$0.39M,$1.96M,$19.05M,$21.12M
NDJI,0.68%,Equity: U.S. - Large Cap,Nationwide,Nationwide Dow Jones Risk-Managed Income ETF,26,-5.25%,-4.44%,--,--,--,--,--,$9.85M,$12.38M,$27.25M,$27.25M,$27.25M
XBAP,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Accelerated 9 Buffer ETF - April,26,-1.68%,-1.15%,-0.42%,--,--,--,--,$5.39M,$5.39M,$6.07M,$24.40M,$24.40M
PSFD,0.75%,Equity: U.S. - Large Cap,Pacer Advisors,Pacer Swan SOS Flex January ETF,26,-6.16%,-5.58%,-3.19%,9.23%,--,--,--,$7.90M,$12.20M,$23.70M,$24.84M,$25.37M
QQQA,0.58%,Equity: U.S. - Large Cap,ProShares,ProShares NASDAQ-100 Dorsey Wright Momentum ETF,25,-16.44%,-16.83%,-16.82%,--,--,--,--,-$0.88M,-$0.88M,-$0.41M,$23.85M,$23.85M
UFEB,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - February,25,0.03%,0.08%,0.55%,6.87%,--,--,--,-$0.70M,-$1.40M,-$2.09M,-$2.40M,$19.15M
SIXJ,0.74%,Equity: U.S. - Large Cap,PIMCO,AllianzIM U.S. Large Cap 6 Month Buffer10 Jan/Jul ETF,24,--,--,--,--,--,--,--,$15.51M,$15.51M,$15.51M,$15.51M,$15.51M
SEPZ,0.79%,Equity: U.S. - Large Cap,TrueMark Investments,TrueShares Structured Outcome ETF - September,24,-6.33%,-5.74%,-3.50%,11.85%,--,--,--,$0.00M,$0.00M,$0.00M,$12.57M,$22.40M
YPS,0.29%,Equity: U.S. - Large Cap,Arrow Funds,Arrow Reverse Cap 500 ETF,24,-5.68%,-4.29%,-4.16%,19.03%,15.50%,--,--,$2.45M,$2.45M,$3.65M,$9.00M,$5.12M
XDEC,0.85%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF - December,24,-3.75%,-3.45%,--,--,--,--,--,$3.10M,$4.65M,$7.65M,$7.65M,$7.65M
RECS,0.15%,Equity: U.S. - Large Cap,"Columbia Management Investment Advisers, LLC",Columbia Research Enhanced Core ETF,23,-7.02%,-6.23%,-1.97%,19.62%,--,--,--,$0.63M,$0.63M,-$0.16M,-$72.56M,-$9.56M
AMOM,0.75%,Equity: U.S. - Large Cap,Exchange Traded Concepts,QRAFT AI-Enhanced U.S. Large Cap Momentum ETF,22,-20.55%,-21.28%,-23.25%,-13.20%,--,--,--,$0.22M,$0.22M,-$3.42M,$20.67M,$22.31M
QJUN,0.90%,Equity: U.S. - Large Cap,First Trust,FT Cboe Vest Nasdaq-100 Buffer ETF - June,22,-6.10%,-6.13%,-4.43%,--,--,--,--,-$2.09M,-$2.09M,-$7.40M,$19.94M,$19.94M
OVLH,0.83%,Equity: U.S. - Large Cap,Liquid Strategies,Overlay Shares Hedged Large Cap Equity ETF,21,-7.14%,-6.73%,-3.79%,10.10%,--,--,--,$1.43M,$1.43M,$6.61M,$18.16M,$20.66M
QARP,0.19%,Equity: U.S. - Large Cap,DWS,Xtrackers Russell 1000 U.S. Quality at a Reasonable Price ETF,20,-8.20%,-7.06%,-2.94%,17.64%,19.62%,--,--,$0.00M,$0.00M,-$19.19M,-$49.85M,-$115.94M
JMIN,0.12%,Equity: U.S. - Large Cap,JPMorgan Chase,JPMorgan U.S. Minimum Volatility ETF,20,-6.74%,-4.94%,-1.50%,13.91%,13.92%,--,--,$0.00M,$0.00M,$0.00M,-$0.05M,-$16.74M
AZBL,0.74%,Equity: U.S. - Large Cap,PIMCO,AllianzIM U.S. Large Cap Buffer20 Jul ETF,19,-2.42%,-2.13%,-1.59%,1.81%,--,--,--,-$2.03M,-$25.08M,-$25.08M,$13.96M,$15.87M
QTAP,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator Growth-100 Accelerated Plus ETF - April,19,-6.20%,-5.74%,-4.10%,--,--,--,--,$2.19M,$1.44M,$2.18M,$18.53M,$18.53M
NSPI,0.68%,Equity: U.S. - Large Cap,Nationwide,Nationwide S&P 500 Risk-Managed Income ETF,19,-6.59%,-6.04%,--,--,--,--,--,$2.52M,$5.05M,$19.96M,$19.96M,$19.96M
UJUN,0.79%,Equity: U.S. - Large Cap,Innovator,Innovator U.S. Equity Ultra Buffer ETF - June,19,-2.13%,-1.99%,-1.37%,2.51%,--,--,--,$0.00M,$0.00M,-$2.19M,$3.29M,$12.78M
SPUC,0.29%,Equity: U.S. - Large Cap,Simplify Asset Management Inc.,Simplify US Equity PLUS Upside Convexity ETF,19,-11.95%,-12.50%,-7.76%,11.86%,--,--,--,$0.00M,$1.79M,$4.34M,$15.51M,$18.06M
