,expense,segment,aum,name_x,ticker,issuer,return_5y,return_10y,return_3y,return_1m,name_y,return_1y,return_3m,return_ytd,name,flow_1y,flow_3m,flow_ytd,flow_1m,flow_3y
879,0.04%,Equity: U.S. - Mid Cap,$107.89M,BNY Mellon US Mid Cap Core Equity ETF,BKMC,BNY Mellon,--,--,--,-7.99%,BNY Mellon US Mid Cap Core Equity ETF,7.37%,-8.64%,-8.95%,BNY Mellon US Mid Cap Core Equity ETF,$25.84M,$4.86M,$0.00M,$0.00M,$59.12M
880,0.57%,Equity: U.S. - Extended Market,$107.71M,Inspire Small/Mid Cap Impact ETF,ISMD,Inspire,--,--,9.88%,-5.74%,Inspire Small/Mid Cap Impact ETF,0.19%,-11.93%,-7.31%,Inspire Small/Mid Cap Impact ETF,$8.61M,$1.24M,-$8.01M,-$6.28M,$39.25M
881,1.02%,Asset Allocation:Asset Allocation Target Outcome,$107.46M,ZEGA Buy and Hedge ETF,ZHDG,Toroso Investments,--,--,--,-5.83%,ZEGA Buy and Hedge ETF,--,-2.99%,-6.42%,ZEGA Buy and Hedge ETF,$110.34M,$22.18M,$6.00M,$9.15M,$110.34M
882,0.29%,Equity: U.S. - Large Cap,$106.78M,Simplify US Equity PLUS Convexity ETF,SPYC,Simplify Asset Management Inc.,--,--,--,-9.30%,Simplify US Equity PLUS Convexity ETF,12.54%,-4.91%,-9.91%,Simplify US Equity PLUS Convexity ETF,$21.45M,$7.74M,$3.48M,$3.48M,$87.70M
883,0.11%,Equity: U.S. - Total Market,$106.55M,Humankind U.S. Stock ETF,HKND,Humankind USA LLC,--,--,--,-4.79%,Humankind U.S. Stock ETF,--,-0.81%,-5.62%,Humankind U.S. Stock ETF,$97.43M,$2.91M,$1.43M,$1.43M,$97.43M
884,0.13%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",$106.17M,Invesco Investment Grade Defensive ETF,IIGD,Invesco,--,--,3.36%,-1.21%,Invesco Investment Grade Defensive ETF,-2.37%,-1.46%,-1.23%,Invesco Investment Grade Defensive ETF,$18.66M,$2.64M,$0.00M,-$2.62M,$101.15M
885,0.85%,Equity: U.S. - Large Cap,$106.12M,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,DAPR,First Trust,--,--,--,-2.76%,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,--,-1.70%,-3.02%,FT Cboe Vest U.S. Equity Deep Buffer ETF - April,$103.56M,$7.92M,$7.88M,$14.19M,$103.56M
886,0.79%,Equity: U.S. - Large Cap,$106.06M,Innovator U.S. Equity Power Buffer ETF - March,PMAR,Innovator,--,--,--,-1.17%,Innovator U.S. Equity Power Buffer ETF - March,8.80%,-0.41%,-1.44%,Innovator U.S. Equity Power Buffer ETF - March,$52.18M,-$11.74M,-$0.79M,-$0.79M,$87.38M
887,0.85%,Equity: U.S. - Large Cap Growth,$104.26M,First Trust Multi-Manager Large Growth ETF,MMLG,First Trust,--,--,--,-17.91%,First Trust Multi-Manager Large Growth ETF,-8.24%,-22.02%,-17.45%,First Trust Multi-Manager Large Growth ETF,$117.54M,-$27.91M,-$25.09M,-$26.47M,$117.54M
888,0.95%,Inverse Equity: U.S. - Large Cap,$104.13M,ProShares UltraShort Dow30,DXD,ProShares,-29.91%,-27.24%,-33.57%,9.06%,ProShares UltraShort Dow30,-25.57%,6.06%,11.69%,ProShares UltraShort Dow30,$2.38M,-$3.95M,-$3.95M,$0.19M,$158.96M
889,1.00%,Leveraged Equity: U.S. Broad Retail,$102.73M,Direxion Daily Retail Bull 3x Shares,RETL,Direxion,12.74%,28.91%,30.05%,-26.96%,Direxion Daily Retail Bull 3x Shares,-14.38%,-43.17%,-30.61%,Direxion Daily Retail Bull 3x Shares,$10.08M,$14.23M,$1.30M,-$0.48M,$7.81M
890,0.30%,Equity: U.S. - Large Cap,$102.40M,Syntax Stratified LargeCap ETF,SSPY,Syntax Advisors,--,--,17.63%,-4.30%,Syntax Stratified LargeCap ETF,17.83%,-2.43%,-5.79%,Syntax Stratified LargeCap ETF,$49.23M,$1.83M,$0.00M,$0.00M,$78.23M
891,0.95%,Inverse Equity: U.S. - Small Cap,$102.23M,ProShares UltraShort Russell2000,TWM,ProShares,-29.07%,-29.40%,-37.88%,22.89%,ProShares UltraShort Russell2000,-9.15%,26.38%,23.65%,ProShares UltraShort Russell2000,$27.80M,$18.18M,$11.71M,$8.46M,$194.25M
892,0.60%,Equity: U.S. Consumer Staples,$101.04M,Invesco DWA Consumer Staples Momentum ETF,PSL,Invesco,9.33%,11.41%,8.49%,-7.46%,Invesco DWA Consumer Staples Momentum ETF,-5.71%,-8.47%,-9.27%,Invesco DWA Consumer Staples Momentum ETF,-$2.90M,$3.45M,-$18.27M,$5.32M,-$98.81M
893,0.60%,Equity: U.S. Semiconductors,$100.91M,First Trust Nasdaq Semiconductor ETF,FTXL,First Trust,23.75%,--,33.01%,-15.10%,First Trust Nasdaq Semiconductor ETF,-0.01%,-1.18%,-16.41%,First Trust Nasdaq Semiconductor ETF,$27.47M,$13.07M,$4.12M,$12.24M,$49.28M
894,0.30%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",$100.11M,Nuveen ESG High Yield Corporate Bond ETF,NUHY,Nuveen Securities,--,--,--,-2.10%,Nuveen ESG High Yield Corporate Bond ETF,0.28%,-1.16%,-2.12%,Nuveen ESG High Yield Corporate Bond ETF,$29.56M,$2.47M,$0.00M,$0.00M,$79.07M
895,0.85%,Equity: U.S. - Large Cap,$99.96M,FT Cboe Vest U.S. Equity Deep Buffer ETF – December,DDEC,First Trust,--,--,--,-3.08%,FT Cboe Vest U.S. Equity Deep Buffer ETF – December,3.39%,-1.88%,-3.23%,FT Cboe Vest U.S. Equity Deep Buffer ETF – December,$17.47M,$43.92M,$21.21M,$24.49M,$73.89M
896,0.74%,Equity: U.S. - Large Cap,$99.90M,AllianzIM U.S. Large Cap Buffer20 Jan ETF,AZBJ,PIMCO,--,--,--,-3.63%,AllianzIM U.S. Large Cap Buffer20 Jan ETF,2.09%,-3.25%,-3.72%,AllianzIM U.S. Large Cap Buffer20 Jan ETF,$73.06M,$42.91M,$18.36M,$32.96M,$75.57M
897,0.30%,"Fixed Income: U.S. - Broad Market, Asset-backed Investment Grade",$99.80M,Impact Shares Affordable Housing MBS ETF,OWNS,Impact Shares,--,--,--,-1.20%,Impact Shares Affordable Housing MBS ETF,--,-1.38%,-1.32%,Impact Shares Affordable Housing MBS ETF,$102.93M,-$0.03M,-$0.02M,-$0.02M,$102.93M
898,0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",$99.75M,JPMorgan Municipal ETF,JMUB,JPMorgan Chase,--,--,4.14%,-1.62%,JPMorgan Municipal ETF,-0.21%,-0.45%,-1.60%,JPMorgan Municipal ETF,$24.88M,$2.74M,$0.00M,$2.74M,$71.19M
899,0.34%,Equity: U.S. - Total Market,$99.71M,Nationwide Maximum Diversification U.S. Core Equity ETF,MXDU,Nationwide,--,--,13.24%,-9.38%,Nationwide Maximum Diversification U.S. Core Equity ETF,-4.69%,-11.57%,-9.72%,Nationwide Maximum Diversification U.S. Core Equity ETF,-$8.24M,-$5.24M,$0.00M,$1.01M,-$33.61M
900,1.05%,Equity: U.S. - Large Cap,$99.54M,FT Cboe Vest Buffered Allocation Growth ETF,BUFG,First Trust,--,--,--,-4.76%,FT Cboe Vest Buffered Allocation Growth ETF,--,--,-5.07%,FT Cboe Vest Buffered Allocation Growth ETF,$103.00M,$103.00M,$40.59M,$45.68M,$103.00M
901,0.60%,Equity: U.S. Financials,$98.15M,Invesco DWA Financial Momentum ETF,PFI,Invesco,10.52%,11.39%,17.87%,-11.84%,Invesco DWA Financial Momentum ETF,9.14%,-17.59%,-11.87%,Invesco DWA Financial Momentum ETF,$59.51M,$14.13M,-$27.67M,-$0.84M,$63.54M
902,1.68%,Asset Allocation: U.S. Target Risk,$97.93M,AdvisorShares Q Dynamic Growth ETF,QPX,AdvisorShares,--,--,--,-13.23%,AdvisorShares Q Dynamic Growth ETF,1.32%,-9.94%,-13.43%,AdvisorShares Q Dynamic Growth ETF,$95.79M,$2.98M,-$13.49M,-$13.19M,$99.71M
903,0.19%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Long-Term",$97.89M,Dimensional Inflation-Protected Securities ETF,DFIP,Dimensional Fund Advisors LP,--,--,--,-1.69%,Dimensional Inflation-Protected Securities ETF,--,--,-2.53%,Dimensional Inflation-Protected Securities ETF,$75.86M,$75.86M,$25.36M,$35.22M,$75.86M
904,0.12%,Equity: U.S. - Total Market,$97.75M,WisdomTree U.S. Value Fund,WTV,WisdomTree,13.81%,12.81%,16.01%,-3.30%,WisdomTree U.S. Value Fund,17.66%,-3.47%,-4.77%,WisdomTree U.S. Value Fund,$5.59M,$5.59M,$5.59M,$5.59M,$5.59M
905,0.25%,"Fixed Income: U.S. - Corporate, Preferred Floating Rate",$97.71M,Global X Variable Rate Preferred ETF,PFFV,"Mirae Asset Global Investments Co., Ltd.",--,--,--,-1.27%,Global X Variable Rate Preferred ETF,4.89%,-1.29%,-1.66%,Global X Variable Rate Preferred ETF,$95.83M,$17.12M,$1.14M,$2.23M,$99.71M
906,0.28%,Equity: U.S. - Total Market,$97.47M,WisdomTree U.S. ESG Fund,RESP,WisdomTree,13.66%,13.62%,17.05%,-7.56%,WisdomTree U.S. ESG Fund,11.72%,-3.97%,-8.44%,WisdomTree U.S. ESG Fund,$2.56M,$3.78M,$1.27M,$1.27M,-$26.49M
907,0.65%,Equity: U.S. - Total Market,$96.96M,Sterling Capital Diverse Multi-Manager Active ETF,DEIF,Truist,--,--,--,-3.86%,Sterling Capital Diverse Multi-Manager Active ETF,--,--,-5.03%,Sterling Capital Diverse Multi-Manager Active ETF,$97.03M,$97.03M,$0.00M,$0.00M,$97.03M
908,0.42%,Equity: U.S. Insurance,$96.88M,iShares U.S. Insurance ETF,IAK,Blackrock,9.22%,12.87%,13.51%,2.00%,iShares U.S. Insurance ETF,26.18%,-0.18%,0.74%,iShares U.S. Insurance ETF,$14.33M,-$4.16M,-$0.23M,-$0.23M,-$28.48M
909,0.95%,Inverse Equity: U.S. Big Tech,$96.19M,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,FNGD,BMO,--,--,-78.27%,49.01%,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,-22.91%,52.58%,50.85%,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,$47.31M,$0.00M,$0.00M,$0.00M,$183.71M
910,0.25%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",$96.01M,iShares BB Rated Corporate Bond ETF,HYBB,Blackrock,--,--,--,-2.78%,iShares BB Rated Corporate Bond ETF,1.22%,-1.61%,-2.55%,iShares BB Rated Corporate Bond ETF,$2.18M,$5.18M,$2.59M,$2.59M,$75.27M
911,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Short-Term",$94.58M,iShares iBonds 2023 Term High Yield and Income ETF,IBHC,Blackrock,--,--,--,-0.69%,iShares iBonds 2023 Term High Yield and Income ETF,3.52%,-0.37%,-0.49%,iShares iBonds 2023 Term High Yield and Income ETF,$66.23M,$12.20M,$7.30M,$14.61M,$85.62M
912,0.00%,Alternatives: U.S. - Volatility,$94.56M,Simplify Volatility Premium ETF,SVOL,Simplify Asset Management Inc.,--,--,--,-6.83%,Simplify Volatility Premium ETF,--,-10.21%,-5.49%,Simplify Volatility Premium ETF,$93.35M,$42.35M,$28.52M,$29.20M,$93.35M
913,0.53%,"Fixed Income: U.S. - Broad Market, Broad-based High Yield",$94.33M,PGIM Active High Yield Bond ETF,PHYL,Prudential,--,--,7.55%,-1.81%,PGIM Active High Yield Bond ETF,2.98%,-0.99%,-2.02%,PGIM Active High Yield Bond ETF,$45.69M,$30.10M,$25.03M,$25.03M,$68.94M
914,0.79%,Equity: U.S. - Large Cap,$94.13M,Innovator U.S. Equity Buffer ETF - July,BJUL,Innovator,--,--,9.27%,-3.85%,Innovator U.S. Equity Buffer ETF - July,5.35%,-2.30%,-4.36%,Innovator U.S. Equity Buffer ETF - July,$13.56M,-$86.67M,-$9.18M,-$9.18M,$67.73M
915,0.40%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",$93.48M,Hartford Schroders Tax-Aware Bond ETF,HTAB,The Hartford,--,--,3.73%,-1.07%,Hartford Schroders Tax-Aware Bond ETF,-1.30%,-1.16%,-1.11%,Hartford Schroders Tax-Aware Bond ETF,-$21.46M,-$13.75M,-$9.49M,-$7.36M,$72.32M
916,0.45%,Asset Allocation:Asset Allocation Target Outcome,$93.29M,DeltaShares S&P 400 Managed Risk ETF,DMRM,Transamerica Funds,--,--,5.03%,-5.80%,DeltaShares S&P 400 Managed Risk ETF,3.64%,-6.66%,-6.83%,DeltaShares S&P 400 Managed Risk ETF,-$5.84M,-$1.24M,$0.00M,$0.00M,-$26.12M
917,1.10%,Equity: U.S. - Large Cap,$92.99M,AdvisorShares Dorsey Wright FSM US Core ETF,DWUS,AdvisorShares,--,--,--,-9.04%,AdvisorShares Dorsey Wright FSM US Core ETF,2.18%,-6.38%,-10.29%,AdvisorShares Dorsey Wright FSM US Core ETF,$11.52M,-$1.02M,$0.00M,-$1.02M,$43.46M
918,0.40%,Equity: U.S. - Small Cap,$91.76M,Invesco S&P SmallCap 600 Equal Weight ETF,EWSC,Invesco,10.78%,10.90%,15.52%,-5.52%,Invesco S&P SmallCap 600 Equal Weight ETF,10.48%,-6.31%,-6.20%,Invesco S&P SmallCap 600 Equal Weight ETF,$56.04M,$22.43M,$22.40M,$22.40M,$48.60M
919,0.83%,Equity: U.S. - Large Cap,$91.63M,Acruence Active Hedge U.S. Equity ETF,XVOL,Toroso Investments,--,--,--,-7.59%,Acruence Active Hedge U.S. Equity ETF,--,-4.67%,-8.02%,Acruence Active Hedge U.S. Equity ETF,$89.97M,$3.27M,$1.04M,$1.04M,$89.97M
920,0.85%,Equity: U.S. - Large Cap,$91.27M,FT Cboe Vest U.S. Equity Deep Buffer ETF,DOCT,First Trust,--,--,--,-2.66%,FT Cboe Vest U.S. Equity Deep Buffer ETF,3.12%,-1.73%,-3.01%,FT Cboe Vest U.S. Equity Deep Buffer ETF,$53.97M,$14.78M,-$1.65M,-$0.00M,$86.77M
921,1.08%,Inverse Equity: U.S. Information Technology,$91.14M,Direxion Daily Technology Bear 3X Shares,TECS,Direxion,-64.61%,-55.15%,-73.41%,812.24%,Direxion Daily Technology Bear 3X Shares,-47.35%,0.54%,352.98%,Direxion Daily Technology Bear 3X Shares,$60.74M,$23.58M,$22.14M,$19.21M,$254.63M
922,0.13%,Equity: U.S. - Large Cap,$89.31M,Invesco S&P 500 Momentum ETF,SPMO,Invesco,17.60%,--,18.77%,-8.30%,Invesco S&P 500 Momentum ETF,7.53%,-8.17%,-8.80%,Invesco S&P 500 Momentum ETF,$5.50M,$8.36M,-$12.27M,-$12.92M,$5.64M
923,0.85%,Equity: U.S. - Large Cap,$89.26M,FT Cboe Vest U.S. Equity Deep Buffer ETF - March,DMAR,First Trust,--,--,--,-1.62%,FT Cboe Vest U.S. Equity Deep Buffer ETF - March,--,-0.89%,-1.85%,FT Cboe Vest U.S. Equity Deep Buffer ETF - March,$86.94M,$19.12M,$1.66M,$4.85M,$86.94M
924,0.12%,Equity: U.S. - Total Market,$87.69M,SPDR S&P 1500 Momentum Tilt ETF,MMTM,State Street Global Advisors,15.68%,--,18.81%,-8.13%,SPDR S&P 1500 Momentum Tilt ETF,11.88%,-5.32%,-8.86%,SPDR S&P 1500 Momentum Tilt ETF,-$4.14M,$0.47M,$0.47M,$0.47M,$16.70M
925,0.60%,Equity: U.S. - Large Cap,$87.31M,Pacer CFRA-Stovall Equal Weight Seasonal Rotation Index ETF,SZNE,Pacer Advisors,--,--,14.47%,-7.29%,Pacer CFRA-Stovall Equal Weight Seasonal Rotation Index ETF,12.30%,-4.86%,-8.73%,Pacer CFRA-Stovall Equal Weight Seasonal Rotation Index ETF,$20.21M,$9.81M,$0.00M,$1.99M,$81.26M
926,0.98%,Leveraged Equity: U.S. - Large Cap,$86.97M,Direxion Daily S&P 500 High Beta Bull 3X Shares,HIBL,Direxion,--,--,--,-20.92%,Direxion Daily S&P 500 High Beta Bull 3X Shares,55.96%,-23.74%,-22.64%,Direxion Daily S&P 500 High Beta Bull 3X Shares,-$16.52M,$0.34M,-$7.35M,-$18.78M,$1.47M
927,0.90%,Equity: U.S. - Large Cap,$86.25M,FT Cboe Vest Nasdaq-100 Buffer ETF - December,QDEC,First Trust,--,--,--,-8.77%,FT Cboe Vest Nasdaq-100 Buffer ETF - December,4.82%,-5.78%,-8.96%,FT Cboe Vest Nasdaq-100 Buffer ETF - December,$29.55M,$18.81M,$13.88M,$17.43M,$80.67M
928,0.99%,Equity: U.S. - Large Cap,$85.65M,Innovator Laddered Fund of U.S. Equity Power Buffer ETFs,BUFF,Innovator,4.94%,--,5.56%,-0.33%,Innovator Laddered Fund of U.S. Equity Power Buffer ETFs,4.80%,0.09%,5.46%,Innovator Laddered Fund of U.S. Equity Power Buffer ETFs,$45.25M,$19.60M,$5.35M,$5.35M,-$42.14M
929,0.45%,Equity: U.S. Remote Work,$85.33M,Direxion Work From Home ETF,WFH,Direxion,--,--,--,-14.21%,Direxion Work From Home ETF,-8.80%,-17.43%,-13.24%,Direxion Work From Home ETF,-$56.75M,-$10.69M,-$5.14M,-$7.01M,$51.61M
930,0.45%,"Fixed Income: U.S. - Corporate, Preferred",$85.19M,InfraCap REIT Preferred ETF,PFFR,Virtus Investment Partners,--,--,4.99%,-0.50%,InfraCap REIT Preferred ETF,2.54%,-3.16%,-1.53%,InfraCap REIT Preferred ETF,$25.61M,$1.27M,$1.19M,$1.19M,$65.14M
931,0.79%,Equity: U.S. - Small Cap,$84.42M,Innovator U.S. Small Cap Power Buffer ETF - April,KAPR,Innovator,--,--,--,-4.91%,Innovator U.S. Small Cap Power Buffer ETF - April,-2.75%,-6.20%,-5.01%,Innovator U.S. Small Cap Power Buffer ETF - April,$67.58M,$5.60M,-$2.08M,-$2.08M,$83.49M
932,0.20%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",$84.37M,Xtrackers Short Duration High Yield Bond ETF,SHYL,DWS,--,--,3.86%,-1.16%,Xtrackers Short Duration High Yield Bond ETF,2.43%,-0.89%,-1.19%,Xtrackers Short Duration High Yield Bond ETF,$45.35M,$0.03M,$2.36M,$4.73M,$37.95M
933,0.35%,Equity: U.S. Regional Banks,$84.07M,Invesco KBW Regional Banking ETF,KBWR,Invesco,5.75%,11.81%,12.12%,5.47%,Invesco KBW Regional Banking ETF,27.26%,1.96%,4.43%,Invesco KBW Regional Banking ETF,$24.08M,$4.91M,$8.18M,$8.18M,-$25.38M
934,0.30%,Equity: U.S. - Total Market,$83.66M,PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,MFUS,PIMCO,--,--,15.95%,-2.84%,PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,14.79%,-2.48%,-4.40%,PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,$4.37M,$0.05M,$0.00M,$0.00M,-$7.41M
935,0.85%,Equity: U.S. - Large Cap,$83.62M,FT Cboe Vest U.S. Equity Buffer ETF - March,FMAR,First Trust,--,--,--,-2.65%,FT Cboe Vest U.S. Equity Buffer ETF - March,--,-1.50%,-3.07%,FT Cboe Vest U.S. Equity Buffer ETF - March,$79.03M,-$4.98M,-$11.58M,-$11.58M,$79.03M
936,0.80%,Equity: U.S. MLPs,$83.48M,ETRACS Alerian MLP Index ETN Series B,AMUB,UBS,-3.41%,--,0.44%,13.02%,ETRACS Alerian MLP Index ETN Series B,39.83%,0.34%,9.19%,ETRACS Alerian MLP Index ETN Series B,-$8.80M,$0.00M,$0.00M,$0.00M,$57.95M
937,0.04%,Equity: U.S. - Small Cap,$82.80M,BNY Mellon US Small Cap Core Equity ETF,BKSE,BNY Mellon,--,--,--,-9.38%,BNY Mellon US Small Cap Core Equity ETF,-3.41%,-11.66%,-9.67%,BNY Mellon US Small Cap Core Equity ETF,$9.00M,-$82.41M,-$52.22M,-$52.22M,$40.18M
938,0.79%,Equity: U.S. - Large Cap,$82.35M,Innovator S&P 500 Buffer ETF - November,BNOV,Innovator,--,--,--,-5.09%,Innovator S&P 500 Buffer ETF - November,3.29%,-3.53%,-5.66%,Innovator S&P 500 Buffer ETF - November,$60.62M,$66.86M,-$10.78M,-$10.78M,$79.48M
939,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",$82.23M,Invesco BulletShares 2030 Corporate Bond ETF,BSCU,Invesco,--,--,--,-2.81%,Invesco BulletShares 2030 Corporate Bond ETF,-6.27%,-2.54%,-2.74%,Invesco BulletShares 2030 Corporate Bond ETF,$68.93M,$54.27M,$39.76M,$51.37M,$84.04M
940,0.49%,Equity: U.S. - Total Market,$81.63M,Alpha Architect U.S. Quantitative Momentum ETF,QMOM,Alpha Architect,12.14%,--,17.79%,-8.83%,Alpha Architect U.S. Quantitative Momentum ETF,-23.77%,-14.43%,-9.59%,Alpha Architect U.S. Quantitative Momentum ETF,-$7.34M,$3.58M,$0.44M,$0.44M,-$13.76M
941,0.85%,Equity: U.S. - Large Cap,$81.39M,FT Cboe Vest U.S. Equity Deep Buffer ETF - May,DMAY,First Trust,--,--,--,-2.05%,FT Cboe Vest U.S. Equity Deep Buffer ETF - May,3.20%,-1.43%,-2.48%,FT Cboe Vest U.S. Equity Deep Buffer ETF - May,$67.29M,$17.30M,$5.22M,$6.96M,$72.07M
942,0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",$79.52M,iShares iBonds Dec 2027 Term Muni Bond ETF,IBMP,Blackrock,--,--,--,-1.87%,iShares iBonds Dec 2027 Term Muni Bond ETF,-2.06%,-1.20%,-1.96%,iShares iBonds Dec 2027 Term Muni Bond ETF,$39.18M,$18.81M,$9.38M,$9.38M,$77.56M
943,0.44%,Equity: U.S. - Large Cap,$79.13M,WisdomTree CBOE S&P 500 PutWrite Strategy Fund,PUTW,WisdomTree,5.98%,--,9.26%,-4.31%,WisdomTree CBOE S&P 500 PutWrite Strategy Fund,13.78%,-2.27%,-4.32%,WisdomTree CBOE S&P 500 PutWrite Strategy Fund,-$36.28M,$13.50M,$5.05M,$5.06M,-$174.99M
944,0.35%,Equity: U.S. - Small Cap,$79.08M,VictoryShares U.S. Discovery Enhanced Volatility Wtd ETF,CSF,Victory Capital,9.55%,--,15.84%,-4.96%,VictoryShares U.S. Discovery Enhanced Volatility Wtd ETF,12.27%,-3.53%,-6.11%,VictoryShares U.S. Discovery Enhanced Volatility Wtd ETF,$21.89M,$12.48M,$12.48M,$12.48M,-$41.37M
945,0.04%,"Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",$78.75M,Schwab Long-Term U.S. Treasury ETF,SCHQ,Charles Schwab,--,--,--,-4.14%,Schwab Long-Term U.S. Treasury ETF,-6.25%,-1.01%,-3.94%,Schwab Long-Term U.S. Treasury ETF,-$18.26M,-$4.31M,-$17.43M,-$17.43M,$89.13M
946,0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",$78.75M,iShares iBonds Dec 2028 Term Muni Bond ETF,IBMQ,Blackrock,--,--,--,-2.02%,iShares iBonds Dec 2028 Term Muni Bond ETF,-2.24%,-1.12%,-1.98%,iShares iBonds Dec 2028 Term Muni Bond ETF,$23.20M,$8.13M,$2.70M,$2.70M,$76.30M
947,0.35%,Equity: U.S. Property & Casualty Insurance,$78.45M,Invesco KBW Property & Casualty Insurance ETF,KBWP,Invesco,10.22%,14.65%,13.64%,3.83%,Invesco KBW Property & Casualty Insurance ETF,22.58%,1.12%,1.41%,Invesco KBW Property & Casualty Insurance ETF,-$220.16M,-$10.19M,$1.64M,$2.44M,-$40.50M
948,0.15%,Equity: U.S. - Large Cap,$78.01M,Principal Quality ETF,PSET,Principal,16.62%,--,19.14%,-9.18%,Principal Quality ETF,15.72%,-5.69%,-11.33%,Principal Quality ETF,$44.98M,-$13.66M,-$7.74M,-$7.74M,$48.82M
949,5.20%,Inverse Equity: U.S. - Total Market,$78.01M,AdvisorShares Ranger Equity Bear ETF,HDGE,AdvisorShares,-21.75%,-19.40%,-30.21%,4.22%,AdvisorShares Ranger Equity Bear ETF,-7.79%,3.72%,5.07%,AdvisorShares Ranger Equity Bear ETF,$26.91M,$8.47M,$0.00M,$2.48M,$80.46M
950,0.79%,Equity: U.S. - Large Cap,$77.90M,Innovator U.S. Equity Buffer ETF - December,BDEC,Innovator,--,--,--,-5.25%,Innovator U.S. Equity Buffer ETF - December,7.07%,-2.48%,-5.90%,Innovator U.S. Equity Buffer ETF - December,-$23.20M,$16.28M,$0.83M,$0.83M,$66.43M
951,0.69%,Equity: U.S. - Total Market,$77.90M,Donoghue Forlines Risk Managed Innovation ETF,DFNV,TrimTabs,--,--,--,-18.24%,Donoghue Forlines Risk Managed Innovation ETF,-7.65%,-16.98%,-14.43%,Donoghue Forlines Risk Managed Innovation ETF,-$5.85M,$4.53M,$5.29M,$5.29M,$76.20M
952,0.79%,Equity: U.S. - Large Cap,$77.58M,Innovator U.S. Equity Buffer ETF - August,BAUG,Innovator,--,--,--,-4.60%,Innovator U.S. Equity Buffer ETF - August,5.19%,-2.96%,-5.27%,Innovator U.S. Equity Buffer ETF - August,$26.54M,-$6.60M,-$0.83M,-$0.83M,$65.63M
953,0.30%,Equity: U.S. Housing,$77.35M,Hoya Capital Housing ETF,HOMZ,Pettee Investors,--,--,--,-7.22%,Hoya Capital Housing ETF,18.86%,-4.01%,-9.41%,Hoya Capital Housing ETF,$22.52M,$3.33M,$2.20M,$2.20M,$58.95M
954,0.95%,"Inverse Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",$76.94M,ProShares UltraShort 7-10 Year Treasury,PST,ProShares,-5.39%,-5.70%,-8.04%,4.35%,ProShares UltraShort 7-10 Year Treasury,7.08%,1.51%,4.35%,ProShares UltraShort 7-10 Year Treasury,$49.15M,$5.76M,-$0.75M,-$0.75M,-$1.74M
955,0.75%,Equity: U.S. - Large Cap,$76.67M,Vesper U.S. Large Cap Short-Term Reversal Strategy ETF,UTRN,Exchange Traded Concepts,--,--,19.96%,-6.57%,Vesper U.S. Large Cap Short-Term Reversal Strategy ETF,16.81%,-4.00%,-9.31%,Vesper U.S. Large Cap Short-Term Reversal Strategy ETF,$25.73M,$13.05M,$7.52M,$9.39M,$77.70M
956,0.66%,Equity: U.S. - Large Cap,$76.43M,American Customer Satisfaction ETF,ACSI,Exponential ETFs,13.13%,--,17.25%,-7.95%,American Customer Satisfaction ETF,9.14%,-6.43%,-8.66%,American Customer Satisfaction ETF,-$0.41M,$0.03M,$0.03M,$0.03M,-$3.89M
957,0.69%,Equity: U.S. - Large Cap,$75.71M,Innovator Defined Wealth Shield ETF,BALT,Innovator,--,--,--,-1.50%,Innovator Defined Wealth Shield ETF,--,-1.22%,-1.47%,Innovator Defined Wealth Shield ETF,$76.16M,$49.79M,$31.69M,$34.29M,$76.16M
958,1.06%,"Inverse Equity: U.S. Oil, Gas & Consumable Fuels",$75.65M,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,DRIP,Direxion,-39.59%,--,-54.75%,-23.26%,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,-77.78%,-7.10%,-22.12%,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,$83.24M,-$10.40M,$9.48M,$17.26M,$86.45M
