ticker,aum,expense,segment,name,issuer,return_ytd,return_5y,return_1y,return_1m,return_3y,return_10y,return_3m,flow_3y,flow_3m,flow_1y,flow_ytd,flow_1m
FRI,"217,120,000 ",0.50%,Equity: U.S. REITs,First Trust S&P REIT Index Fund,First Trust,-9.36%,5.31%,26.44%,-6.43%,8.87%,6.18%,-2.37%,$86.80M,$12.87M,$124.95M,$1.37M,$11.05M
HYZD,"214,620,000 ",0.43%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",WisdomTree Interest Rate Hedged High Yield Bond Fund,WisdomTree,-1.37%,3.25%,3.87%,-0.99%,3.12%,--,-0.41%,-$22.90M,$35.33M,$97.26M,$4.43M,$11.11M
XMVM,"214,500,000 ",0.39%,Equity: U.S. - Mid Cap Value,Invesco S&P MidCap Value with Momentum ETF,Invesco,-5.75%,9.75%,19.09%,-3.62%,17.55%,13.25%,-2.21%,$148.78M,$32.17M,$109.06M,$15.75M,$18.19M
ISCB,"214,420,000 ",0.04%,Equity: U.S. - Small Cap,iShares Morningstar Small-Cap ETF,Blackrock,-10.86%,6.60%,-0.91%,-10.42%,9.39%,10.15%,-12.44%,-$11.12M,$0.00M,-$11.12M,$0.00M,$0.00M
CZA,"214,280,000 ",0.69%,Equity: U.S. - Mid Cap,Invesco Zacks Mid-Cap ETF,Invesco,-7.13%,11.08%,15.89%,-5.32%,13.38%,12.51%,-4.59%,-$93.67M,-$5.84M,-$38.06M,-$1.10M,-$2.06M
FNK,"212,250,000 ",0.70%,Equity: U.S. - Mid Cap Value,First Trust Mid Cap Value AlphaDEX Fund,First Trust,-4.10%,6.31%,21.87%,-2.04%,10.51%,8.64%,-2.85%,$145.02M,$86.32M,$146.01M,$9.68M,$9.68M
CURE,"211,420,000 ",1.08%,Leveraged Equity: U.S. Health Care,Direxion Daily Healthcare Bull 3x Shares,Direxion,-26.27%,31.37%,23.83%,-23.85%,28.18%,36.77%,-11.36%,-$53.99M,-$2.09M,$30.45M,-$6.41M,$15.18M
EPRF,"210,740,000 ",0.47%,"Fixed Income: U.S. - Corporate, Preferred Investment Grade",Innovator S&P Investment Grade Preferred ETF,Innovator,0.84%,4.80%,-1.10%,-0.49%,5.56%,--,-0.94%,$202.13M,-$9.56M,$44.89M,-$2.37M,-$2.37M
KCE,"210,550,000 ",0.35%,Equity: U.S. Capital Markets,SPDR S&P Capital Markets ETF,State Street Global Advisors,-12.12%,17.26%,20.61%,-12.16%,23.21%,14.09%,-13.55%,$168.87M,$50.92M,$165.60M,-$139.79M,-$145.00M
FSMB,"210,400,000 ",0.45%,"Fixed Income: U.S. - Government, Local Authority/Municipal Short Term",First Trust Short Duration Managed Municipal ETF,First Trust,-0.97%,--,-0.24%,-1.06%,2.42%,--,-0.82%,$190.90M,$37.45M,$130.40M,$17.65M,$27.03M
DGRS,"210,350,000 ",0.38%,Equity: U.S. - Small Cap,WisdomTree U.S. Smallcap Quality Dividend Growth Fund,WisdomTree,-6.63%,8.08%,8.40%,-4.66%,11.82%,--,-2.93%,$61.16M,$9.62M,$44.61M,$4.70M,$2.34M
OPER,"210,210,000 ",0.20%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Ultra-Short Term",ClearShares Ultra-Short Maturity ETF,ClearShares LLC,0.02%,--,0.37%,0.03%,1.01%,--,0.09%,$180.17M,$35.04M,$85.08M,$30.03M,$25.02M
EQL,"209,830,000 ",0.28%,Equity: U.S. - Large Cap,ALPS Equal Sector Weight ETF,SS&C,-5.80%,13.36%,18.96%,-4.42%,17.54%,13.14%,-2.54%,-$11.98M,$2.57M,$6.29M,$0.00M,$0.00M
SMLV,"208,370,000 ",0.12%,Equity: U.S. - Small Cap,SPDR SSGA U.S. Small Cap Low Volatility Index ETF,State Street Global Advisors,-5.87%,7.81%,13.81%,-4.52%,10.96%,--,-2.83%,-$33.31M,-$8.25M,-$40.65M,-$1.19M,-$1.19M
GTIP,"208,200,000 ",0.12%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade",Goldman Sachs Access Inflation Protected USD Bond ETF,Goldman Sachs,-2.95%,--,0.15%,-2.80%,6.16%,--,-2.97%,$203.46M,$55.51M,$167.89M,$4.31M,$4.31M
SPDN,"207,690,000 ",0.50%,Inverse Equity: U.S. - Large Cap,Direxion Daily S&P 500 Bear 1X Shares,Direxion,9.25%,-15.17%,-14.34%,8.25%,-19.48%,--,4.14%,$284.35M,$76.42M,$87.65M,$66.17M,$66.17M
PALC,"205,140,000 ",0.60%,Equity: U.S. - Large Cap,Pacer Lunt Large Cap Multi-Factor Alternator ETF,Pacer Advisors,-8.54%,--,23.20%,-7.99%,--,--,-7.09%,$202.37M,$75.83M,$186.76M,$28.42M,$32.64M
MLPB,"204,820,000 ",0.85%,Equity: U.S. MLPs,ETRACS Alerian MLP Infrastructure Index ETN Series B,UBS,9.52%,-3.99%,40.05%,13.81%,-1.48%,--,2.09%,$199.70M,$0.00M,-$20.13M,$0.00M,$0.00M
XMPT,"203,350,000 ",2.32%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",VanEck CEF Muni Income ETF,VanEck,-8.30%,5.14%,-1.62%,-7.92%,6.79%,4.79%,-4.81%,$74.60M,$16.77M,$54.24M,-$2.42M,$0.52M
XPH,"202,840,000 ",0.35%,Equity: U.S. Pharmaceuticals,SPDR S&P Pharmaceuticals ETF,State Street Global Advisors,-9.08%,2.84%,-21.43%,-10.36%,2.53%,7.00%,-11.97%,-$59.54M,-$1.31M,-$34.08M,-$4.45M,-$4.45M
CSML,"202,340,000 ",0.35%,Equity: U.S. - Small Cap,IQ Chaikin U.S. Small Cap ETF,New York Life,-8.02%,--,7.90%,-7.27%,11.99%,--,-6.94%,-$242.34M,-$10.52M,-$0.60M,$0.00M,$0.00M
PMAY,"202,050,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Power Buffer ETF - May,Innovator,-2.48%,--,4.33%,-2.32%,--,--,-1.41%,$183.30M,-$34.09M,$127.14M,-$18.10M,-$21.92M
UBND,"201,610,000 ",0.40%,"Fixed Income: U.S. - Broad Market, Broad-based Intermediate",VictoryShares ESG Core Plus Bond ETF,Victory Capital,-1.34%,--,--,-1.34%,--,--,-0.92%,$9.85M,$9.85M,$9.85M,$9.85M,$9.85M
XITK,"199,870,000 ",0.45%,Equity: U.S. Information Technology,SPDR FactSet Innovative Technology ETF,State Street Global Advisors,-20.78%,20.60%,-33.66%,-22.28%,17.46%,--,-33.97%,$86.85M,-$28.34M,-$106.33M,-$12.62M,-$16.45M
VALQ,"199,860,000 ",0.29%,Equity: U.S. - Total Market,American Century STOXX U.S. Quality Value ETF,American Century Investments,-5.27%,--,15.95%,-3.79%,12.44%,--,-0.84%,$142.48M,-$15.24M,-$3.36M,$1.28M,$6.59M
GHYB,"199,790,000 ",0.34%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Goldman Sachs Access High Yield Corporate Bond ETF,Goldman Sachs,-2.51%,--,-0.29%,-2.87%,4.94%,--,-1.94%,$150.23M,$12.55M,$32.88M,$0.03M,$5.01M
QVMM,"199,280,000 ",0.15%,Equity: U.S. - Mid Cap,Invesco S&P MidCap 400 QVM Multi-Factor ETF,Invesco,-9.42%,--,--,-7.85%,--,--,-7.20%,$200.63M,-$0.20M,$200.63M,$0.79M,$0.79M
FAUG,"199,050,000 ",0.85%,Equity: U.S. - Large Cap,FT Cboe Vest U.S. Equity Buffer ETF - August,First Trust,-5.29%,--,4.74%,-4.80%,--,--,-3.27%,$183.33M,-$0.15M,$105.88M,$5.66M,$3.72M
IBMN,"197,920,000 ",0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",iShares iBonds Dec 2025 Term Muni Bond ETF,Blackrock,-1.76%,--,-2.33%,-1.90%,2.84%,--,-1.60%,$189.54M,$19.49M,$67.09M,$4.17M,$6.95M
PAPR,"196,870,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Power Buffer ETF - April,Innovator,-1.66%,--,5.46%,-1.52%,--,--,-0.92%,$151.40M,-$39.34M,$39.46M,-$7.34M,-$7.34M
BJAN,"195,290,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Buffer ETF,Innovator,-6.24%,--,5.28%,-6.17%,11.45%,--,-5.28%,$161.81M,$55.51M,$39.75M,$75.88M,$75.88M
IUS,"194,380,000 ",0.19%,Equity: U.S. - Large Cap,Invesco RAFI Strategic US ETF,Invesco,-5.13%,--,20.38%,-3.94%,21.39%,--,-0.37%,$127.53M,$11.94M,$4.69M,$3.01M,$5.04M
MUST,"193,870,000 ",0.23%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",Columbia Multi-Sector Municipal Income ETF,"Columbia Management Investment Advisers, LLC",-2.69%,--,-1.15%,-2.73%,4.53%,--,-1.59%,$177.61M,$55.98M,$127.94M,$11.11M,$26.83M
DIG,"192,230,000 ",0.95%,"Leveraged Equity: U.S. Oil, Gas & Consumable Fuels",ProShares Ultra Oil & Gas,ProShares,33.58%,-13.23%,150.50%,35.82%,-9.07%,-7.67%,18.06%,-$17.97M,-$50.18M,-$96.56M,-$18.12M,-$18.12M
PNOV,"191,950,000 ",0.79%,Equity: U.S. - Large Cap,Innovator S&P 500 Power Buffer ETF - November,Innovator,-4.15%,--,2.10%,-3.69%,--,--,-2.74%,$185.00M,$146.48M,$126.91M,-$33.87M,-$30.77M
TTAC,"191,810,000 ",0.59%,Equity: U.S. - Total Market,FCF US Quality ETF,TrimTabs,-10.14%,14.89%,14.96%,-9.07%,17.93%,--,-5.41%,$20.11M,$12.50M,-$9.58M,$8.12M,$8.12M
FXU,"189,340,000 ",0.62%,Equity: U.S. Utilities,First Trust Utilities AlphaDEX Fund,First Trust,-4.63%,3.34%,12.66%,-2.26%,5.37%,6.08%,1.27%,-$179.84M,$5.14M,-$5.21M,$3.22M,$11.33M
ESG,"189,220,000 ",0.32%,Equity: U.S. - Total Market,FlexShares STOXX U.S. ESG Select Index Fund,Northern Trust,-8.43%,16.33%,14.05%,-7.81%,20.78%,--,-4.63%,$101.66M,$8.48M,$8.26M,$5.38M,$5.38M
GVIP,"188,740,000 ",0.45%,Equity: U.S. - Total Market,Goldman Sachs Hedge Industry VIP ETF,Goldman Sachs,-13.55%,14.89%,-4.43%,-13.78%,18.58%,--,-14.91%,$62.16M,-$6.92M,$26.82M,-$2.45M,-$2.45M
FFTY,"188,170,000 ",0.80%,Equity: U.S. - Total Market,Innovator IBD 50 ETF,Innovator,-18.79%,8.43%,-17.94%,-17.01%,7.08%,--,-24.62%,-$277.64M,-$14.89M,$7.20M,-$6.18M,-$8.47M
OSCV,"187,550,000 ",0.79%,Equity: U.S. - Small Cap Value,Opus Small Cap Value ETF,Aptus Capital Advisors,-8.50%,--,10.62%,-6.54%,13.21%,--,-5.61%,$143.52M,$39.79M,$100.56M,$7.80M,$7.80M
OMFS,"187,340,000 ",0.39%,Equity: U.S. - Small Cap,Invesco Russell 2000 Dynamic Multifactor ETF,Invesco,-9.66%,--,2.99%,-8.32%,16.05%,--,-8.34%,$154.94M,$54.39M,$106.39M,$13.22M,$16.15M
WFHY,"184,200,000 ",0.38%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",WisdomTree U.S. High Yield Corporate Bond Fund,WisdomTree,-2.58%,5.06%,1.53%,-2.65%,6.04%,--,-1.55%,$174.37M,-$0.11M,$68.23M,$5.17M,$5.17M
HYDB,"183,740,000 ",0.35%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",iShares Edge High Yield Defensive Bond ETF,Blackrock,-2.37%,--,2.27%,-2.50%,7.11%,--,-1.52%,$168.99M,$28.26M,$136.30M,$0.00M,$7.69M
POCT,"183,020,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Power Buffer ETF - October,Innovator,-2.96%,--,5.84%,-2.64%,8.50%,--,-1.83%,$113.03M,-$24.15M,-$0.43M,-$21.15M,-$20.39M
ETHO,"181,440,000 ",0.48%,Equity: U.S. - Total Market,Etho Climate Leadership U.S. ETF,ETFMG,-12.75%,15.36%,1.44%,-11.37%,18.50%,--,-10.46%,$104.09M,$9.53M,$53.26M,$3.12M,$3.12M
ATMP,"179,790,000 ",0.95%,Equity: U.S. MLPs,iPath Select MLP ETN,Barclays Capital Inc.,8.36%,-1.16%,43.14%,11.01%,1.83%,--,0.05%,-$95.07M,-$15.71M,-$24.66M,-$1.69M,-$1.69M
FUMB,"178,880,000 ",0.35%,"Fixed Income: U.S. - Government, Local Authority/Municipal Ultra-Short Term",First Trust Ultra Short Duration Municipal ETF,First Trust,-0.40%,--,-0.17%,-0.30%,1.05%,--,-0.20%,$158.99M,$1.01M,$68.59M,$1.01M,$1.01M
MILN,"178,700,000 ",0.50%,Equity: U.S. Millennials,Global X Millennial Consumer ETF,"Mirae Asset Global Investments Co., Ltd.",-15.31%,17.70%,-6.73%,-15.08%,18.52%,--,-19.46%,$120.04M,-$10.64M,$53.10M,-$14.36M,-$17.37M
VFQY,"178,660,000 ",0.13%,Equity: U.S. - Total Market,Vanguard U.S. Quality Factor ETF,Vanguard,-10.56%,--,8.26%,-9.46%,15.41%,--,-8.04%,$142.33M,$70.25M,$115.08M,$4.29M,$22.01M
XLSR,"178,160,000 ",0.70%,Equity: U.S. - Total Market,SPDR SSGA U.S. Sector Rotation ETF,State Street Global Advisors,-7.71%,--,8.92%,-6.61%,--,--,-3.77%,$149.40M,$5.65M,$62.07M,-$2.80M,-$2.80M
DJD,"176,640,000 ",0.07%,Equity: U.S. - Large Cap,Invesco Dow Jones Industrial Average Dividend ETF,Invesco,-0.97%,12.41%,18.04%,0.60%,12.87%,--,2.68%,$17.01M,$0.49M,$34.73M,$2.74M,$2.74M
VFMO,"176,430,000 ",0.13%,Equity: U.S. - Total Market,Vanguard U.S. Momentum Factor ETF,Vanguard,-12.26%,--,-4.02%,-11.81%,17.70%,--,-14.35%,$130.32M,$18.89M,$110.70M,-$1.29M,-$0.62M
PJUL,"175,380,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Power Buffer ETF - July,Innovator,-2.85%,--,3.69%,-2.25%,7.02%,--,-1.42%,$139.19M,-$41.13M,$79.48M,-$25.04M,-$36.57M
JPSE,"175,210,000 ",0.29%,Equity: U.S. - Small Cap,JPMorgan Diversified Return U.S. Small Cap Equity ETF,JPMorgan Chase,-9.38%,10.98%,6.96%,-8.37%,14.15%,--,-7.67%,$13.45M,$11.70M,-$17.38M,$6.94M,$6.94M
AUSF,"174,760,000 ",0.27%,Equity: U.S. - Total Market,Global X Adaptive U.S. Factor ETF,"Mirae Asset Global Investments Co., Ltd.",-6.01%,--,15.42%,-4.52%,11.89%,--,-2.52%,$33.57M,-$0.30M,-$4.16M,$0.01M,$0.01M
FNGO,"174,740,000 ",0.95%,Leveraged Equity: U.S. Big Tech,MicroSectors FANG+ Index 2X Leveraged ETN,BMO,-26.90%,--,-18.79%,-27.37%,67.43%,--,-32.42%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
FDG,"174,550,000 ",0.45%,Equity: U.S. - Total Market Growth,American Century Focused Dynamic Growth ETF,American Century Investments,-17.02%,--,-12.35%,-17.94%,--,--,-23.02%,$127.87M,$10.97M,-$27.67M,$0.00M,$0.00M
FDEC,"171,950,000 ",0.85%,Equity: U.S. - Large Cap,FT Cboe Vest U.S. Equity Buffer ETF - December,First Trust,-5.95%,--,6.10%,-5.41%,--,--,-3.58%,$148.63M,$103.61M,$113.37M,$74.33M,$77.82M
PAUG,"171,640,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Power Buffer ETF - August,Innovator,-3.37%,--,3.46%,-2.94%,--,--,-1.78%,$157.19M,-$13.53M,$56.05M,-$3.76M,-$3.76M
FDM,"171,480,000 ",0.60%,Equity: U.S. - Micro Cap,First Trust Dow Jones Select MicroCap Index Fund,First Trust,-7.31%,6.55%,15.27%,-6.16%,10.37%,10.79%,-4.41%,-$11.54M,$12.55M,$21.95M,-$6.38M,-$3.17M
BSJQ,"171,050,000 ",0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco BulletShares 2026 High Yield Corporate Bond ETF,Invesco,-1.78%,--,2.48%,-1.82%,5.67%,--,-0.90%,$165.74M,$40.86M,$107.63M,$10.19M,$20.44M
RVNU,"170,600,000 ",0.15%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Long-Term",Xtrackers Municipal Infrastructure Revenue Bond ETF,DWS,-2.63%,4.50%,-1.19%,-2.60%,5.26%,--,-0.86%,$107.38M,$17.56M,$51.19M,$0.00M,$0.00M
JSMD,"170,550,000 ",0.30%,Equity: U.S. - Extended Market Growth,Janus Henderson Small/Mid Cap Growth Alpha ETF,Janus Henderson,-14.51%,13.06%,-12.87%,-13.98%,12.78%,--,-13.86%,$87.99M,-$4.12M,$31.33M,-$19.48M,-$19.48M
PBP,"168,130,000 ",0.49%,Equity: U.S. - Large Cap,Invesco S&P 500 BuyWrite ETF,Invesco,-4.91%,5.65%,11.97%,-4.48%,7.41%,6.10%,-2.61%,-$148.34M,-$1.31M,-$7.51M,-$1.19M,-$1.19M
EMNT,"167,170,000 ",0.24%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",PIMCO Enhanced Short Maturity Active ESG ETF,PIMCO,-0.16%,--,-0.02%,-0.13%,--,--,-0.23%,$150.64M,-$10.01M,$10.12M,$5.03M,$5.03M
IGEB,"166,520,000 ",0.18%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",iShares Edge Investment Grade Enhanced Bond ETF,Blackrock,-3.21%,--,-3.44%,-3.28%,6.68%,--,-3.00%,$69.66M,$13.36M,$16.14M,$0.00M,$0.00M
RFV,"166,270,000 ",0.35%,Equity: U.S. - Mid Cap Value,Invesco S&P MidCap 400 Pure Value ETF,Invesco,-2.98%,10.03%,20.93%,-0.97%,14.99%,12.17%,-1.26%,$19.94M,$14.77M,$69.42M,$23.49M,$18.67M
SRTY,"165,990,000 ",0.95%,Inverse Equity: U.S. - Small Cap,ProShares UltraPro Short Russell2000,ProShares,42.33%,-48.52%,-19.33%,41.32%,-56.30%,-44.26%,41.66%,$479.83M,-$2.30M,$62.23M,-$7.43M,$1.89M
HEGD,"165,900,000 ",0.87%,Equity: U.S. - Large Cap,Swan Hedged Equity US Large Cap ETF,Swan Global Investments,-4.92%,--,9.07%,-4.62%,--,--,-2.11%,$162.21M,$37.74M,$156.32M,$15.15M,$17.10M
PXE,"165,210,000 ",0.63%,"Equity: U.S. Oil, Gas & Consumable Fuels",Invesco Dynamic Energy Exploration & Production ETF,Invesco,15.04%,1.53%,99.33%,16.25%,7.53%,1.85%,2.86%,$102.34M,$31.97M,$113.13M,$18.56M,$18.56M
DEUS,"164,210,000 ",0.17%,Equity: U.S. - Large Cap,Xtrackers Russell U.S. Multifactor ETF,DWS,-8.86%,11.44%,12.62%,-6.84%,14.74%,--,-5.42%,-$57.16M,-$35.47M,-$41.80M,-$9.47M,-$9.47M
SIXA,"163,530,000 ",0.86%,Equity: U.S. - Large Cap,ETC 6 Meridian Mega Cap Equity ETF,Exchange Traded Concepts,-3.60%,--,16.27%,-2.51%,--,--,-0.63%,$121.02M,$2.26M,$17.75M,-$0.12M,$0.82M
SPVU,"162,570,000 ",0.13%,Equity: U.S. - Large Cap Value,Invesco S&P 500 Enhanced Value ETF,Invesco,-0.80%,10.51%,27.43%,0.41%,12.58%,--,0.82%,$109.44M,$27.82M,$41.15M,$27.18M,$28.96M
FOCT,"161,440,000 ",0.85%,Equity: U.S. - Large Cap,FT Cboe Vest U.S. Equity Buffer ETF - October,First Trust,-4.87%,--,6.75%,-4.31%,--,--,-2.83%,$155.83M,$66.89M,$103.33M,$15.81M,$15.81M
HLAL,"160,640,000 ",0.50%,Equity: U.S. - Total Market,Wahed FTSE USA Shariah ETF,Wahed Invest LLC,-8.50%,--,12.12%,-7.32%,--,--,-1.87%,$130.71M,$9.30M,$70.52M,-$4.14M,-$4.14M
QLV,"159,890,000 ",0.22%,Equity: U.S. - Total Market,FlexShares US Quality Low Volatility Index Fund,Northern Trust,-9.69%,--,11.17%,-8.31%,--,--,-4.81%,$125.08M,$8.16M,$17.22M,$2.62M,$2.62M
MVV,"159,770,000 ",0.95%,Leveraged Equity: U.S. - Mid Cap,ProShares Ultra MidCap400,ProShares,-18.71%,11.76%,9.38%,-15.99%,16.95%,18.57%,-16.06%,-$33.60M,-$9.46M,-$32.86M,-$7.12M,-$0.29M
FJAN,"159,520,000 ",0.85%,Equity: U.S. - Large Cap,FT Cboe Vest U.S. Equity Buffer ETF - January,First Trust,-0.41%,--,11.28%,-0.43%,--,--,0.55%,$146.36M,$18.74M,$115.78M,$15.41M,$15.41M
IBDU,"158,320,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",iShares iBonds Dec 2029 Term Corporate ETF,Blackrock,-2.77%,--,-3.98%,-2.79%,--,--,-2.60%,$151.04M,$20.94M,$72.65M,$13.02M,$13.02M
KORP,"158,250,000 ",0.29%,"Fixed Income: U.S. - Corporate, Broad-based Intermediate",American Century Diversified Corporate Bond ETF,American Century Investments,-1.94%,--,-2.22%,-1.98%,4.32%,--,-2.03%,$122.83M,$5.02M,$31.14M,$7.69M,$7.69M
FAB,"157,840,000 ",0.70%,Equity: U.S. - Total Market Value,First Trust Multi Cap Value AlphaDEX Fund,First Trust,-3.10%,7.47%,19.97%,-1.57%,12.04%,9.28%,-0.91%,$48.64M,$11.12M,$68.51M,$0.00M,$0.00M
XES,"156,280,000 ",0.35%,Equity: U.S. Energy Equipment & Services,SPDR S&P Oil & Gas Equipment & Services ETF,State Street Global Advisors,20.51%,-22.71%,23.76%,17.87%,-17.39%,-15.30%,-3.06%,$18.82M,-$11.77M,-$22.49M,$5.75M,$3.26M
VSMV,"155,900,000 ",0.35%,Equity: U.S. - Total Market,VictoryShares U.S. Multi-Factor Minimum Volatility ETF,Victory Capital,-7.05%,--,12.84%,-5.35%,13.89%,--,-1.76%,$86.86M,-$6.01M,-$14.78M,$0.09M,$0.09M
EWRE,"155,670,000 ",0.40%,Equity: U.S. Real Estate,Invesco S&P 500 Equal Weight Real Estate ETF,Invesco,-8.92%,11.52%,32.40%,-5.80%,15.38%,--,-1.82%,$122.45M,$49.21M,$123.81M,$23.34M,$23.34M
XSMO,"155,280,000 ",0.39%,Equity: U.S. - Small Cap,Invesco S&P SmallCap Momentum ETF,Invesco,-12.03%,14.21%,-5.13%,-10.41%,14.12%,11.64%,-11.26%,$52.44M,-$9.58M,$18.89M,-$22.15M,-$24.37M
IBMO,"154,600,000 ",0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",iShares iBonds Dec 2026 Term Muni Bond ETF,Blackrock,-2.14%,--,-2.44%,-2.16%,--,--,-1.70%,$153.54M,$33.51M,$80.69M,$5.34M,$6.68M
FBGX,"154,530,000 ",1.29%,Leveraged Equity: U.S. - Large Cap Growth,UBS AG FI Enhanced Large Cap Growth ETN,UBS,-24.05%,34.61%,12.07%,-23.88%,44.69%,--,-17.94%,"-$1,776.62M",$24.84M,$5.25M,$0.00M,$0.00M
TPLC,"153,870,000 ",0.52%,Equity: U.S. - Large Cap,Timothy Plan U.S. Large/Mid Cap Core ETF,Timothy Plan,-10.47%,--,10.64%,-8.79%,--,--,-6.10%,$97.68M,-$33.60M,-$34.86M,$1.82M,$1.82M
USMF,"153,260,000 ",0.28%,Equity: U.S. - Total Market,WisdomTree U.S. Multifactor Fund,WisdomTree,-6.96%,--,7.66%,-5.51%,13.75%,--,-3.87%,$57.91M,$7.17M,-$18.90M,$2.08M,$2.08M
ESGA,"152,390,000 ",0.39%,Equity: U.S. - Large Cap,American Century Sustainable Equity ETF,American Century Investments,-9.41%,--,14.22%,-8.45%,--,--,-5.89%,$114.95M,$6.91M,$15.57M,$2.20M,$2.20M
OUSM,"152,230,000 ",0.48%,Equity: U.S. - Small Cap,O?™Shares U.S. Small-Cap Quality Dividend ETF,O'Shares Investments,-7.56%,8.62%,9.00%,-5.72%,12.67%,--,-5.14%,$14.92M,$3.71M,$12.85M,$0.00M,-$1.86M
HYGH,"152,050,000 ",0.52%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",iShares Interest Rate Hedged High Yield Bond ETF,Blackrock,-1.20%,3.98%,4.36%,-1.36%,3.77%,--,-0.22%,-$48.47M,$17.73M,$96.45M,$17.61M,$22.01M
SVAL,"151,700,000 ",0.20%,Equity: U.S. - Small Cap Value,iShares U.S. Small Cap Value Factor ETF,Blackrock,-4.13%,--,19.07%,-2.51%,--,--,-1.30%,$131.38M,$9.04M,$98.32M,-$1.71M,-$1.71M
PXI,"151,630,000 ",0.60%,Equity: U.S. Energy,Invesco DWA Energy Momentum ETF,Invesco,11.75%,-4.09%,71.88%,12.32%,4.31%,-0.24%,-1.67%,$92.86M,$54.82M,$111.34M,-$23.61M,-$25.84M
PIFI,"151,340,000 ",0.45%,"Fixed Income: U.S. - Broad Market, Broad-based Intermediate",ClearShares Piton Intermediate Fixed Income ETF,ClearShares LLC,-1.11%,--,--,0.58%,--,--,-0.79%,$152.93M,$110.58M,$122.98M,$71.10M,$71.10M
HYXF,"151,310,000 ",0.35%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",iShares ESG Advanced High Yield Corporate Bond ETF,Blackrock,-2.32%,4.97%,0.61%,-2.51%,5.58%,--,-1.44%,$143.57M,$33.22M,$75.01M,$10.16M,$10.16M
PPTY,"150,940,000 ",0.49%,Equity: U.S. Real Estate,U.S. Diversified Real Estate ETF,Vident,-8.66%,--,25.98%,-6.03%,12.53%,--,-2.91%,$23.13M,$1.86M,$6.73M,-$0.00M,-$0.00M
SHAG,"150,170,000 ",0.12%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",WisdomTree Yield Enhanced U.S. Short-Term Aggregate Bond ETF,WisdomTree,-1.20%,--,-2.07%,-1.17%,2.59%,--,-1.36%,$101.81M,-$25.31M,$5.38M,-$5.02M,-$5.02M
FCPI,"148,330,000 ",0.29%,Equity: U.S. - Total Market,Fidelity Stocks for Inflation ETF,Fidelity,-5.01%,--,21.60%,-3.57%,--,--,-1.45%,$142.60M,$80.73M,$141.40M,$46.03M,$49.43M
BSEP,"146,860,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Buffer ETF - September,Innovator,-5.76%,--,6.68%,-5.21%,--,--,-3.44%,$133.25M,-$2.48M,$36.01M,$1.70M,$0.03M
HYHG,"146,750,000 ",0.51%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",ProShares High Yield-Interest Rate Hedged ETF,ProShares,-0.80%,3.43%,3.60%,-0.59%,3.59%,--,-0.15%,$9.00M,$15.62M,$76.53M,$12.54M,$12.54M
PJUN,"146,410,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Power Buffer ETF - June,Innovator,-2.53%,--,3.79%,-2.18%,--,--,-1.32%,$124.49M,-$4.87M,$49.98M,$0.73M,$0.73M
EDOW,"145,610,000 ",0.50%,Equity: U.S. - Large Cap,First Trust Dow 30 Equal Weight ETF,First Trust,-4.01%,--,12.03%,-2.93%,12.05%,--,-2.01%,$112.57M,$22.20M,$79.59M,$12.81M,$14.40M
IBDV,"145,500,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",iShares iBonds Dec 2030 Term Corporate ETF,Blackrock,-3.07%,--,-4.60%,-3.15%,--,--,-2.65%,$141.07M,$27.48M,$86.63M,$7.40M,$7.40M
